ID,long_term_credit_card_opening_propensity_score,creditworthiness_score,spend_potential,number_of_credit_cards,short_term_credit_card_opening_propensity_score,long_term_credit_card_cancellation_propensity_score,credit_card_utilization_score,number_of_attempts_to_open_credit_cards,history_at_credit_bureau,total_limit_across_credit_cards,contact_history_score,Balance Transfer Propensity Score,targeted_product,Customer Lifetime Value
1,12.1,9168.8,5.8,165,3,15.6,7,20,51,525,60,14,C,787
2,3,8181.8,4.3,66,0,1.3,12,12,34,650,15,58,C,521
3,3,8883.1,0.3,33,3,0,12,12,36,250,105,72,E,1697
4,24.2,9272.7,1.6,198,3,10.4,7,104,41,500,75,88,E,1054
5,3,8779.2,1.9,66,0,0,6,12,37,225,45,4,C,1211
6,6.1,10506.5,11.5,165,0,6.5,1,12,29,2950,0,11,B,3457
7,3,10909.1,10.1,132,0,2.6,1,8,38,4875,15,89,A,3726
8,9.1,9000,,99,3,0,13,20,23,700,0,69,E,1362
9,0,10026,4.4,66,0,1.3,9,20,35,2400,240,68,E,4115
10,9.1,9168.8,,99,9.1,0,5,8,22,550,0,68,E,416
11,9.1,10350.6,1.7,165,6.1,5.2,3,28,37,1625,45,90,E,432
12,15.2,9740.3,0.7,165,0,15.6,6,8,52,4075,30,9,A,6441
13,0,8454.5,1.4,99,0,2.6,10,12,40,400,75,20,B,8267
14,12.1,9688.3,5.3,132,3,7.8,9,4,40,1600,75,19,E,763
15,12.1,9545.5,4.3,165,0,10.4,6,4,41,2850,105,45,E,615
16,9.1,9155.8,,99,9.1,0,2,16,21,100,0,43,C,352
17,3,8623.4,2.1,66,0,3.9,6,12,33,550,0,90,C,1008
18,6.1,9779.2,13,66,3,3.9,11,8,43,5700,210,84,D,2017
19,,9844.2,0.2,,,,,28,47,750,30,49,E,2060
20,6.1,8467.5,1.8,132,0,2.6,7,4,54,375,45,40,C,452
21,18.2,9987,0.3,231,12.1,0,3,16,26,450,60,15,E,663
22,3,9402.6,,231,0,10.4,4,4,46,1900,0,13,E,366
23,6.1,9831.2,18.6,132,0,2.6,3,12,33,2475,300,48,A,5000
24,12.1,10207.8,14,99,0,24.7,1,8,51,2475,135,40,E,3573
25,9.1,8831.2,1,132,3,1.3,12,28,54,250,0,2,E,3433
26,12.1,8298.7,7.5,198,0,0,12,36,29,1450,75,59,C,1429
27,9.1,9000,0.8,66,3,0,6,16,23,1325,105,41,E,1806
28,6.1,9337.7,,66,3,1.3,3,12,36,650,0,28,E,2785
29,6.1,9168.8,2.1,66,0,0,8,4,23,600,225,29,E,2141
30,3,9311.7,0.6,33,0,0,17,8,24,650,300,35,E,3235
31,21.2,9792.2,2.7,297,3,2.6,5,24,41,1125,105,18,E,954
32,15.2,8493.5,3,165,3,1.3,2,36,38,375,0,19,C,1201
33,12.1,9298.7,23.6,297,3,5.2,10,28,40,1825,555,2,B,10369
34,21.2,8974,1.4,264,6.1,0,9,24,25,575,0,8,E,634
35,6.1,8961,1.7,66,3,1.3,13,4,36,800,165,91,E,2558
36,3,9493.5,0.9,66,0,0,6,4,28,3025,30,81,E,1906
37,9.1,9779.2,3.8,132,3,0,5,4,40,2025,150,96,E,3544
38,9.1,9480.5,1.4,99,3,0,5,32,23,425,120,7,E,1230
39,12.1,9818.2,0.5,132,3,0,6,8,31,1025,105,59,E,2049
40,9.1,9000,0.5,132,0,0,13,4,25,550,60,57,E,2202
41,3,9259.7,0.2,33,0,1.3,7,8,25,750,45,48,E,1822
42,12.1,8675.3,2.1,198,3,3.9,13,24,39,650,465,58,D,1112
43,9.1,9688.3,,99,3,0,3,4,24,1150,0,57,E,445
44,9.1,9129.9,1.1,99,3,1.3,4,44,29,525,180,12,E,2783
45,24.2,9051.9,1.7,264,15.2,0,5,24,39,925,0,97,C,284
46,6.1,8363.6,0.2,33,0,0,3,64,26,375,30,36,C,858
47,3,9324.7,0,33,3,0,3,0,22,500,0,41,C,546
48,9.1,10142.9,2.8,99,3,0,3,16,24,2475,180,51,E,1176
49,0,9558.4,0.7,33,0,0,1,4,38,1500,120,37,E,715
50,3,9220.8,0.7,33,0,0,11,0,22,725,30,2,B,5832
51,12.1,8948.1,5.6,363,3,3.9,8,20,38,1225,45,51,E,1759
52,3,8467.5,0.4,33,0,0,6,12,37,375,0,27,B,2874
53,3,11039,5.9,66,3,1.3,1,8,47,2500,45,44,D,-127
54,9.1,10142.9,0.3,99,3,0,0,4,25,3700,60,1,B,3479
55,9.1,8701.3,1.4,99,3,0,9,12,32,175,150,84,E,2220
56,3,9753.2,,33,3,0,,4,22,75,0,40,E,593
57,6.1,9831.2,2.5,99,0,0,1,12,33,1650,570,9,E,3557
58,18.2,9039,1.5,198,6.1,0,7,40,24,200,75,5,E,1599
59,3,10246.8,10.1,66,0,2.6,2,4,33,1400,45,68,B,4620
60,15.2,9558.4,4.4,264,6.1,11.7,6,16,43,1025,195,35,E,1543
61,15.2,9298.7,1.9,165,9.1,0,8,68,23,575,390,31,E,1628
62,6.1,9350.6,0.2,132,6.1,1.3,9,8,44,575,0,1,E,535
63,9.1,10039,1.2,66,0,1.3,4,16,27,575,420,36,E,2250
64,3,9844.2,0.1,66,0,0,2,96,25,2250,105,87,E,827
65,3,9246.8,,33,0,0,6,12,23,1675,0,23,E,1903
66,9.1,9090.9,1.1,198,3,0,6,20,29,1100,30,50,E,344
67,15.2,9220.8,3,165,3,1.3,9,16,51,1075,255,94,E,1219
68,3,9649.4,,33,0,0,0,4,23,1250,0,33,E,1091
69,12.1,8610.4,4.7,132,0,9.1,9,20,41,375,30,13,B,1969
70,6.1,8467.5,0.8,132,3,0,8,20,35,375,30,66,B,3872
71,3,9194.8,0.5,33,0,0,3,48,22,225,75,94,E,1795
72,3,9246.8,1.2,33,0,0,4,20,32,500,120,88,B,7108
73,6.1,10883.1,24,132,0,10.4,3,0,53,4225,30,27,A,4069
74,6.1,8753.2,0.6,66,3,0,9,28,23,125,0,84,E,2478
75,6.1,9662.3,0.4,66,6.1,0,4,0,22,200,15,6,E,2493
76,12.1,9194.8,3.6,132,3,0,4,16,49,750,15,81,C,787
77,9.1,9311.7,0.1,99,9.1,1.3,3,24,34,900,15,8,E,1065
78,9.1,8831.2,0.2,99,6.1,1.3,8,36,36,325,0,51,C,876
79,12.1,9909.1,3.4,264,6.1,1.3,7,20,58,1650,285,6,E,1433
80,0,9467.5,0.9,99,0,0,5,8,26,275,60,17,E,3580
81,9.1,8805.2,1.8,99,9.1,0,10,12,23,375,45,100,E,2580
